llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
gpt-4,bb,3,PositiveN,0.30000000000000004,0.51,0.515,0.515,0.495,40,7.4,6.38,4.18
gpt-3.5,bb,3,PositiveN,0.30000000000000004,0.437,0.435,0.437,0.4319,40,13.54,12.42,4.57
claude-3,bb,3,PositiveN,0.30000000000000004,0.4699,0.4679,0.4719,0.4509,40,11.44,10.75,4.19
all,mathqa,3,PositiveN,0.30000000000000004,0.525,0.5269,0.5255,0.5168,40,15.69,13.58,4.91
gpt-4,mathqa,3,PositiveN,0.30000000000000004,0.6443,0.6392,0.6392,0.6495,40,9.21,8.02,5.15
gpt-3.5,mathqa,3,PositiveN,0.30000000000000004,0.4675,0.4695,0.4675,0.4665,40,16.58,14.26,4.97
claude-3,mathqa,3,PositiveN,0.30000000000000004,0.5586,0.5616,0.5606,0.5405,40,16.08,14.0,4.81
all,all,3,PositiveN,0.4,0.5429,0.5432,0.5432,0.5407,40,14.4,12.44,5.48
gpt-4,all,3,PositiveN,0.4,0.657,0.6553,0.6553,0.657,40,8.14,7.0,4.82
gpt-3.5,all,3,PositiveN,0.4,0.5135,0.5135,0.5125,0.5165,40,15.79,13.76,5.73
claude-3,all,3,PositiveN,0.4,0.5495,0.5506,0.5516,0.5419,40,14.26,12.21,5.35
all,gsm,3,PositiveN,0.4,0.6442,0.6446,0.6433,0.6392,40,15.5,12.64,5.74
gpt-4,gsm,3,PositiveN,0.4,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,4.59
gpt-3.5,gsm,3,PositiveN,0.4,0.634,0.634,0.631,0.621,40,17.23,14.59,5.93
claude-3,gsm,3,PositiveN,0.4,0.62,0.622,0.622,0.622,40,15.26,11.87,5.77
all,bb,3,PositiveN,0.4,0.4588,0.4574,0.4601,0.4583,40,12.02,11.1,4.92
gpt-4,bb,3,PositiveN,0.4,0.51,0.515,0.515,0.5,40,7.4,6.38,4.35
gpt-3.5,bb,3,PositiveN,0.4,0.437,0.435,0.437,0.4492,40,13.54,12.42,5.28
claude-3,bb,3,PositiveN,0.4,0.4699,0.4679,0.4719,0.4589,40,11.44,10.75,4.68
all,mathqa,3,PositiveN,0.4,0.525,0.5269,0.5255,0.5241,40,15.69,13.58,5.77
gpt-4,mathqa,3,PositiveN,0.4,0.6443,0.6392,0.6392,0.6546,40,9.21,8.02,5.52
gpt-3.5,mathqa,3,PositiveN,0.4,0.4675,0.4695,0.4675,0.4776,40,16.58,14.26,5.99
claude-3,mathqa,3,PositiveN,0.4,0.5586,0.5616,0.5606,0.5445,40,16.08,14.0,5.6
all,all,3,PositiveN,0.5,0.5429,0.5432,0.5432,0.545,40,14.4,12.44,6.03
gpt-4,all,3,PositiveN,0.5,0.657,0.6553,0.6553,0.6587,40,8.14,7.0,5.35
gpt-3.5,all,3,PositiveN,0.5,0.5135,0.5135,0.5125,0.5243,40,15.79,13.76,6.41
claude-3,all,3,PositiveN,0.5,0.5495,0.5506,0.5516,0.5432,40,14.26,12.21,5.78
all,gsm,3,PositiveN,0.5,0.6442,0.6446,0.6433,0.6415,40,15.5,12.64,6.43
gpt-4,gsm,3,PositiveN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,4.79
gpt-3.5,gsm,3,PositiveN,0.5,0.634,0.634,0.631,0.627,40,17.23,14.59,6.98
claude-3,gsm,3,PositiveN,0.5,0.62,0.622,0.622,0.621,40,15.26,11.87,6.19
all,bb,3,PositiveN,0.5,0.4588,0.4574,0.4601,0.4633,40,12.02,11.1,5.07
gpt-4,bb,3,PositiveN,0.5,0.51,0.515,0.515,0.5,40,7.4,6.38,4.37
gpt-3.5,bb,3,PositiveN,0.5,0.437,0.435,0.437,0.4583,40,13.54,12.42,5.58
claude-3,bb,3,PositiveN,0.5,0.4699,0.4679,0.4719,0.4609,40,11.44,10.75,4.71
all,mathqa,3,PositiveN,0.5,0.525,0.5269,0.5255,0.5296,40,15.69,13.58,6.59
gpt-4,mathqa,3,PositiveN,0.5,0.6443,0.6392,0.6392,0.6598,40,9.21,8.02,6.92
gpt-3.5,mathqa,3,PositiveN,0.5,0.4675,0.4695,0.4675,0.4858,40,16.58,14.26,6.67
