llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
gpt-3.5,bb,4,PositiveN,0.5,0.437,0.435,0.437,0.4593,40,13.54,12.42,7.15
claude-3,bb,4,PositiveN,0.5,0.4699,0.4679,0.4719,0.4649,40,11.44,10.75,5.91
all,mathqa,4,PositiveN,0.5,0.525,0.5269,0.5255,0.5361,40,15.69,13.58,8.62
gpt-4,mathqa,4,PositiveN,0.5,0.6443,0.6392,0.6392,0.6649,40,9.21,8.02,9.07
gpt-3.5,mathqa,4,PositiveN,0.5,0.4675,0.4695,0.4675,0.4878,40,16.58,14.26,8.66
claude-3,mathqa,4,PositiveN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,8.49
all,all,5,PositiveN,0.5,0.5429,0.5432,0.5432,0.5491,40,14.4,12.44,9.37
gpt-4,all,5,PositiveN,0.5,0.657,0.6553,0.6553,0.6638,40,8.14,7.0,8.31
gpt-3.5,all,5,PositiveN,0.5,0.5135,0.5135,0.5125,0.53,40,15.79,13.76,10.01
claude-3,all,5,PositiveN,0.5,0.5495,0.5506,0.5516,0.5455,40,14.26,12.21,8.94
all,gsm,5,PositiveN,0.5,0.6442,0.6446,0.6433,0.6446,40,15.5,12.64,9.76
gpt-4,gsm,5,PositiveN,0.5,0.8205,0.8154,0.8154,0.8256,40,7.84,6.63,7.11
gpt-3.5,gsm,5,PositiveN,0.5,0.634,0.634,0.631,0.637,40,17.23,14.59,10.75
claude-3,gsm,5,PositiveN,0.5,0.62,0.622,0.622,0.617,40,15.26,11.87,9.28
all,bb,5,PositiveN,0.5,0.4588,0.4574,0.4601,0.4647,40,12.02,11.1,7.8
gpt-4,bb,5,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,6.66
gpt-3.5,bb,5,PositiveN,0.5,0.437,0.435,0.437,0.4583,40,13.54,12.42,8.7
claude-3,bb,5,PositiveN,0.5,0.4699,0.4679,0.4719,0.4619,40,11.44,10.75,7.13
all,mathqa,5,PositiveN,0.5,0.525,0.5269,0.5255,0.5374,40,15.69,13.58,10.56
gpt-4,mathqa,5,PositiveN,0.5,0.6443,0.6392,0.6392,0.6598,40,9.21,8.02,11.21
gpt-3.5,mathqa,5,PositiveN,0.5,0.4675,0.4695,0.4675,0.4929,40,16.58,14.26,10.58
claude-3,mathqa,5,PositiveN,0.5,0.5586,0.5616,0.5606,0.5576,40,16.08,14.0,10.41
all,all,6,PositiveN,0.5,0.5429,0.5432,0.5432,0.5493,40,14.4,12.44,10.95
gpt-4,all,6,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,9.73
gpt-3.5,all,6,PositiveN,0.5,0.5135,0.5135,0.5125,0.5296,40,15.79,13.76,11.73
claude-3,all,6,PositiveN,0.5,0.5495,0.5506,0.5516,0.5459,40,14.26,12.21,10.41
all,gsm,6,PositiveN,0.5,0.6442,0.6446,0.6433,0.6437,40,15.5,12.64,11.32
gpt-4,gsm,6,PositiveN,0.5,0.8205,0.8154,0.8154,0.8256,40,7.84,6.63,8.45
gpt-3.5,gsm,6,PositiveN,0.5,0.634,0.634,0.631,0.637,40,17.23,14.59,12.39
claude-3,gsm,6,PositiveN,0.5,0.62,0.622,0.622,0.615,40,15.26,11.87,10.8
all,bb,6,PositiveN,0.5,0.4588,0.4574,0.4601,0.4661,40,12.02,11.1,9.16
gpt-4,bb,6,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,7.78
gpt-3.5,bb,6,PositiveN,0.5,0.437,0.435,0.437,0.4573,40,13.54,12.42,10.27
claude-3,bb,6,PositiveN,0.5,0.4699,0.4679,0.4719,0.4659,40,11.44,10.75,8.34
all,mathqa,6,PositiveN,0.5,0.525,0.5269,0.5255,0.5374,40,15.69,13.58,12.37
gpt-4,mathqa,6,PositiveN,0.5,0.6443,0.6392,0.6392,0.6649,40,9.21,8.02,13.02
gpt-3.5,mathqa,6,PositiveN,0.5,0.4675,0.4695,0.4675,0.4929,40,16.58,14.26,12.52
claude-3,mathqa,6,PositiveN,0.5,0.5586,0.5616,0.5606,0.5566,40,16.08,14.0,12.09
all,all,7,PositiveN,0.5,0.5429,0.5432,0.5432,0.5519,40,14.4,12.44,12.52
gpt-4,all,7,PositiveN,0.5,0.657,0.6553,0.6553,0.6638,40,8.14,7.0,11.02
gpt-3.5,all,7,PositiveN,0.5,0.5135,0.5135,0.5125,0.535,40,15.79,13.76,13.41
claude-3,all,7,PositiveN,0.5,0.5495,0.5506,0.5516,0.5465,40,14.26,12.21,11.92
all,gsm,7,PositiveN,0.5,0.6442,0.6446,0.6433,0.6487,40,15.5,12.64,12.81
gpt-4,gsm,7,PositiveN,0.5,0.8205,0.8154,0.8154,0.8256,40,7.84,6.63,9.56
gpt-3.5,gsm,7,PositiveN,0.5,0.634,0.634,0.631,0.645,40,17.23,14.59,13.98
claude-3,gsm,7,PositiveN,0.5,0.62,0.622,0.622,0.618,40,15.26,11.87,12.28
all,bb,7,PositiveN,0.5,0.4588,0.4574,0.4601,0.4652,40,12.02,11.1,10.56
gpt-4,bb,7,PositiveN,0.5,0.51,0.515,0.515,0.505,40,7.4,6.38,8.85
gpt-3.5,bb,7,PositiveN,0.5,0.437,0.435,0.437,0.4604,40,13.54,12.42,11.93
claude-3,bb,7,PositiveN,0.5,0.4699,0.4679,0.4719,0.4619,40,11.44,10.75,9.55
all,mathqa,7,PositiveN,0.5,0.525,0.5269,0.5255,0.5411,40,15.69,13.58,14.18
gpt-4,mathqa,7,PositiveN,0.5,0.6443,0.6392,0.6392,0.6649,40,9.21,8.02,14.71
gpt-3.5,mathqa,7,PositiveN,0.5,0.4675,0.4695,0.4675,0.498,40,16.58,14.26,14.32
claude-3,mathqa,7,PositiveN,0.5,0.5586,0.5616,0.5606,0.5596,40,16.08,14.0,13.95
all,all,8,PositiveN,0.5,0.5429,0.5432,0.5432,0.5546,40,14.4,12.44,14.06
gpt-4,all,8,PositiveN,0.5,0.657,0.6553,0.6553,0.6672,40,8.14,7.0,12.14
gpt-3.5,all,8,PositiveN,0.5,0.5135,0.5135,0.5125,0.5384,40,15.79,13.76,15.09
claude-3,all,8,PositiveN,0.5,0.5495,0.5506,0.5516,0.5485,40,14.26,12.21,13.41
all,gsm,8,PositiveN,0.5,0.6442,0.6446,0.6433,0.6501,40,15.5,12.64,14.25
gpt-4,gsm,8,PositiveN,0.5,0.8205,0.8154,0.8154,0.8256,40,7.84,6.63,10.61
gpt-3.5,gsm,8,PositiveN,0.5,0.634,0.634,0.631,0.648,40,17.23,14.59,15.56
claude-3,gsm,8,PositiveN,0.5,0.62,0.622,0.622,0.618,40,15.26,11.87,13.65
all,bb,8,PositiveN,0.5,0.4588,0.4574,0.4601,0.4679,40,12.02,11.1,11.92
gpt-4,bb,8,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,9.9
gpt-3.5,bb,8,PositiveN,0.5,0.437,0.435,0.437,0.4614,40,13.54,12.42,13.53
claude-3,bb,8,PositiveN,0.5,0.4699,0.4679,0.4719,0.4659,40,11.44,10.75,10.74
all,mathqa,8,PositiveN,0.5,0.525,0.5269,0.5255,0.5452,40,15.69,13.58,16.0
gpt-4,mathqa,8,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,16.0
gpt-3.5,mathqa,8,PositiveN,0.5,0.4675,0.4695,0.4675,0.5041,40,16.58,14.26,16.18
claude-3,mathqa,8,PositiveN,0.5,0.5586,0.5616,0.5606,0.5616,40,16.08,14.0,15.82
all,all,9,PositiveN,0.5,0.5429,0.5432,0.5432,0.5552,40,14.4,12.44,15.49
gpt-4,all,9,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,13.23
gpt-3.5,all,9,PositiveN,0.5,0.5135,0.5135,0.5125,0.5387,40,15.79,13.76,16.63
claude-3,all,9,PositiveN,0.5,0.5495,0.5506,0.5516,0.5499,40,14.26,12.21,14.8
all,gsm,9,PositiveN,0.5,0.6442,0.6446,0.6433,0.6487,40,15.5,12.64,15.59
gpt-4,gsm,9,PositiveN,0.5,0.8205,0.8154,0.8154,0.8256,40,7.84,6.63,11.65
gpt-3.5,gsm,9,PositiveN,0.5,0.634,0.634,0.631,0.644,40,17.23,14.59,16.96
claude-3,gsm,9,PositiveN,0.5,0.62,0.622,0.622,0.619,40,15.26,11.87,14.99
all,bb,9,PositiveN,0.5,0.4588,0.4574,0.4601,0.4693,40,12.02,11.1,13.28
gpt-4,bb,9,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,10.98
gpt-3.5,bb,9,PositiveN,0.5,0.437,0.435,0.437,0.4634,40,13.54,12.42,15.1
claude-3,bb,9,PositiveN,0.5,0.4699,0.4679,0.4719,0.4669,40,11.44,10.75,11.94
all,mathqa,9,PositiveN,0.5,0.525,0.5269,0.5255,0.5471,40,15.69,13.58,17.6
gpt-4,mathqa,9,PositiveN,0.5,0.6443,0.6392,0.6392,0.6649,40,9.21,8.02,17.13
gpt-3.5,mathqa,9,PositiveN,0.5,0.4675,0.4695,0.4675,0.5071,40,16.58,14.26,17.83
claude-3,mathqa,9,PositiveN,0.5,0.5586,0.5616,0.5606,0.5636,40,16.08,14.0,17.47
all,all,10,PositiveN,0.5,0.5429,0.5432,0.5432,0.5555,40,14.4,12.44,16.89
gpt-4,all,10,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,14.4
gpt-3.5,all,10,PositiveN,0.5,0.5135,0.5135,0.5125,0.5404,40,15.79,13.76,18.11
claude-3,all,10,PositiveN,0.5,0.5495,0.5506,0.5516,0.5489,40,14.26,12.21,16.16
all,gsm,10,PositiveN,0.5,0.6442,0.6446,0.6433,0.6483,40,15.5,12.64,16.91
gpt-4,gsm,10,PositiveN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,12.69
gpt-3.5,gsm,10,PositiveN,0.5,0.634,0.634,0.631,0.645,40,17.23,14.59,18.37
claude-3,gsm,10,PositiveN,0.5,0.62,0.622,0.622,0.618,40,15.26,11.87,16.26
all,bb,10,PositiveN,0.5,0.4588,0.4574,0.4601,0.4702,40,12.02,11.1,14.58
gpt-4,bb,10,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,12.08
gpt-3.5,bb,10,PositiveN,0.5,0.437,0.435,0.437,0.4675,40,13.54,12.42,16.55
claude-3,bb,10,PositiveN,0.5,0.4699,0.4679,0.4719,0.4649,40,11.44,10.75,13.14
all,mathqa,10,PositiveN,0.5,0.525,0.5269,0.5255,0.5475,40,15.69,13.58,19.18
gpt-4,mathqa,10,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,18.52
gpt-3.5,mathqa,10,PositiveN,0.5,0.4675,0.4695,0.4675,0.5071,40,16.58,14.26,19.4
claude-3,mathqa,10,PositiveN,0.5,0.5586,0.5616,0.5606,0.5636,40,16.08,14.0,19.08
all,all,11,PositiveN,0.5,0.5429,0.5432,0.5432,0.556,40,14.4,12.44,18.22
gpt-4,all,11,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,15.52
gpt-3.5,all,11,PositiveN,0.5,0.5135,0.5135,0.5125,0.5408,40,15.79,13.76,19.5
claude-3,all,11,PositiveN,0.5,0.5495,0.5506,0.5516,0.5495,40,14.26,12.21,17.5
all,gsm,11,PositiveN,0.5,0.6442,0.6446,0.6433,0.6487,40,15.5,12.64,18.18
gpt-4,gsm,11,PositiveN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,13.71
gpt-3.5,gsm,11,PositiveN,0.5,0.634,0.634,0.631,0.646,40,17.23,14.59,19.68
claude-3,gsm,11,PositiveN,0.5,0.62,0.622,0.622,0.618,40,15.26,11.87,17.56
all,bb,11,PositiveN,0.5,0.4588,0.4574,0.4601,0.4707,40,12.02,11.1,15.88
gpt-4,bb,11,PositiveN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,13.2
gpt-3.5,bb,11,PositiveN,0.5,0.437,0.435,0.437,0.4665,40,13.54,12.42,17.99
claude-3,bb,11,PositiveN,0.5,0.4699,0.4679,0.4719,0.4669,40,11.44,10.75,14.33
all,mathqa,11,PositiveN,0.5,0.525,0.5269,0.5255,0.548,40,15.69,13.58,20.62
gpt-4,mathqa,11,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,19.73
gpt-3.5,mathqa,11,PositiveN,0.5,0.4675,0.4695,0.4675,0.5081,40,16.58,14.26,20.82
claude-3,mathqa,11,PositiveN,0.5,0.5586,0.5616,0.5606,0.5636,40,16.08,14.0,20.6
all,all,12,PositiveN,0.5,0.5429,0.5432,0.5432,0.558,40,14.4,12.44,19.49
gpt-4,all,12,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,16.53
gpt-3.5,all,12,PositiveN,0.5,0.5135,0.5135,0.5125,0.5448,40,15.79,13.76,20.8
claude-3,all,12,PositiveN,0.5,0.5495,0.5506,0.5516,0.5499,40,14.26,12.21,18.77
all,gsm,12,PositiveN,0.5,0.6442,0.6446,0.6433,0.6519,40,15.5,12.64,19.4
gpt-4,gsm,12,PositiveN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,14.72
gpt-3.5,gsm,12,PositiveN,0.5,0.634,0.634,0.631,0.65,40,17.23,14.59,20.89
claude-3,gsm,12,PositiveN,0.5,0.62,0.622,0.622,0.622,40,15.26,11.87,18.83
all,bb,12,PositiveN,0.5,0.4588,0.4574,0.4601,0.4725,40,12.02,11.1,17.12
gpt-4,bb,12,PositiveN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,14.3
gpt-3.5,bb,12,PositiveN,0.5,0.437,0.435,0.437,0.4715,40,13.54,12.42,19.29
claude-3,bb,12,PositiveN,0.5,0.4699,0.4679,0.4719,0.4649,40,11.44,10.75,15.55
all,mathqa,12,PositiveN,0.5,0.525,0.5269,0.5255,0.5489,40,15.69,13.58,21.94
gpt-4,mathqa,12,PositiveN,0.5,0.6443,0.6392,0.6392,0.6701,40,9.21,8.02,20.66
gpt-3.5,mathqa,12,PositiveN,0.5,0.4675,0.4695,0.4675,0.5112,40,16.58,14.26,22.2
claude-3,mathqa,12,PositiveN,0.5,0.5586,0.5616,0.5606,0.5626,40,16.08,14.0,21.93
all,all,13,PositiveN,0.5,0.5429,0.5432,0.5432,0.5587,40,14.4,12.44,20.72
gpt-4,all,13,PositiveN,0.5,0.657,0.6553,0.6553,0.6655,40,8.14,7.0,17.55
gpt-3.5,all,13,PositiveN,0.5,0.5135,0.5135,0.5125,0.5451,40,15.79,13.76,22.05
claude-3,all,13,PositiveN,0.5,0.5495,0.5506,0.5516,0.5512,40,14.26,12.21,20.03
all,gsm,13,PositiveN,0.5,0.6442,0.6446,0.6433,0.6515,40,15.5,12.64,20.63
gpt-4,gsm,13,PositiveN,0.5,0.8205,0.8154,0.8154,0.8154,40,7.84,6.63,15.72
gpt-3.5,gsm,13,PositiveN,0.5,0.634,0.634,0.631,0.65,40,17.23,14.59,22.14
claude-3,gsm,13,PositiveN,0.5,0.62,0.622,0.622,0.621,40,15.26,11.87,20.07
all,bb,13,PositiveN,0.5,0.4588,0.4574,0.4601,0.4743,40,12.02,11.1,18.36
gpt-4,bb,13,PositiveN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,15.39
gpt-3.5,bb,13,PositiveN,0.5,0.437,0.435,0.437,0.4726,40,13.54,12.42,20.57
claude-3,bb,13,PositiveN,0.5,0.4699,0.4679,0.4719,0.4679,40,11.44,10.75,16.78
