llm,benchmark,N,stop_algo,threshold,SC_ACC,ES_ACC,ASC_ACC,CASC_ACC,SC_Avg_Steps,ES_Avg_Steps,ASC_Avg_Steps,CASC_Avg_Steps
claude-3,gsm,4,ConsistencyN,0.5,0.62,0.622,0.622,0.623,40,15.26,11.87,13.44
all,bb,4,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4569,40,12.02,11.1,11.38
gpt-4,bb,4,ConsistencyN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,6.96
gpt-3.5,bb,4,ConsistencyN,0.5,0.437,0.435,0.437,0.436,40,13.54,12.42,13.56
claude-3,bb,4,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4659,40,11.44,10.75,10.12
all,mathqa,4,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5287,40,15.69,13.58,16.43
gpt-4,mathqa,4,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6392,40,9.21,8.02,13.72
gpt-3.5,mathqa,4,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4715,40,16.58,14.26,16.78
claude-3,mathqa,4,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5636,40,16.08,14.0,16.62
all,all,5,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5447,40,14.4,12.44,17.41
gpt-4,all,5,ConsistencyN,0.5,0.657,0.6553,0.6553,0.6587,40,8.14,7.0,11.36
gpt-3.5,all,5,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5158,40,15.79,13.76,19.1
claude-3,all,5,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5509,40,14.26,12.21,16.92
all,gsm,5,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6437,40,15.5,12.64,17.2
gpt-4,gsm,5,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,8.81
gpt-3.5,gsm,5,ConsistencyN,0.5,0.634,0.634,0.631,0.633,40,17.23,14.59,19.37
claude-3,gsm,5,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,16.66
all,bb,5,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.461,40,12.02,11.1,14.69
gpt-4,bb,5,ConsistencyN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,8.9
gpt-3.5,bb,5,ConsistencyN,0.5,0.437,0.435,0.437,0.4411,40,13.54,12.42,17.04
claude-3,bb,5,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4699,40,11.44,10.75,13.53
all,mathqa,5,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5287,40,15.69,13.58,20.35
gpt-4,mathqa,5,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,16.47
gpt-3.5,mathqa,5,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4715,40,16.58,14.26,20.89
claude-3,mathqa,5,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5626,40,16.08,14.0,20.57
all,all,6,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5438,40,14.4,12.44,20.19
gpt-4,all,6,ConsistencyN,0.5,0.657,0.6553,0.6553,0.6587,40,8.14,7.0,13.11
gpt-3.5,all,6,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5155,40,15.79,13.76,21.85
claude-3,all,6,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5492,40,14.26,12.21,19.94
all,gsm,6,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,19.6
gpt-4,gsm,6,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,10.5
gpt-3.5,gsm,6,ConsistencyN,0.5,0.634,0.634,0.631,0.635,40,17.23,14.59,21.91
claude-3,gsm,6,ConsistencyN,0.5,0.62,0.622,0.622,0.619,40,15.26,11.87,19.06
all,bb,6,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4601,40,12.02,11.1,17.87
gpt-4,bb,6,ConsistencyN,0.5,0.51,0.515,0.515,0.515,40,7.4,6.38,10.55
gpt-3.5,bb,6,ConsistencyN,0.5,0.437,0.435,0.437,0.44,40,13.54,12.42,20.23
claude-3,bb,6,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4689,40,11.44,10.75,17.02
all,mathqa,6,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5264,40,15.69,13.58,23.12
gpt-4,mathqa,6,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,18.38
gpt-3.5,mathqa,6,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4695,40,16.58,14.26,23.42
claude-3,mathqa,6,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5596,40,16.08,14.0,23.75
all,all,7,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5432,40,14.4,12.44,22.47
gpt-4,all,7,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,14.62
gpt-3.5,all,7,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5145,40,15.79,13.76,24.37
claude-3,all,7,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5492,40,14.26,12.21,22.14
all,gsm,7,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,21.84
gpt-4,gsm,7,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,11.77
gpt-3.5,gsm,7,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,24.21
claude-3,gsm,7,ConsistencyN,0.5,0.62,0.622,0.622,0.62,40,15.26,11.87,21.42
all,bb,7,ConsistencyN,0.5,0.4588,0.4574,0.4601,0.4592,40,12.02,11.1,20.3
gpt-4,bb,7,ConsistencyN,0.5,0.51,0.515,0.515,0.51,40,7.4,6.38,12.24
gpt-3.5,bb,7,ConsistencyN,0.5,0.437,0.435,0.437,0.439,40,13.54,12.42,23.08
claude-3,bb,7,ConsistencyN,0.5,0.4699,0.4679,0.4719,0.4689,40,11.44,10.75,19.18
all,mathqa,7,ConsistencyN,0.5,0.525,0.5269,0.5255,0.5255,40,15.69,13.58,25.29
gpt-4,mathqa,7,ConsistencyN,0.5,0.6443,0.6392,0.6392,0.6443,40,9.21,8.02,19.94
gpt-3.5,mathqa,7,ConsistencyN,0.5,0.4675,0.4695,0.4675,0.4685,40,16.58,14.26,25.82
claude-3,mathqa,7,ConsistencyN,0.5,0.5586,0.5616,0.5606,0.5586,40,16.08,14.0,25.81
all,all,8,ConsistencyN,0.5,0.5429,0.5432,0.5432,0.5427,40,14.4,12.44,24.33
gpt-4,all,8,ConsistencyN,0.5,0.657,0.6553,0.6553,0.657,40,8.14,7.0,16.07
gpt-3.5,all,8,ConsistencyN,0.5,0.5135,0.5135,0.5125,0.5135,40,15.79,13.76,26.24
claude-3,all,8,ConsistencyN,0.5,0.5495,0.5506,0.5516,0.5492,40,14.26,12.21,24.06
all,gsm,8,ConsistencyN,0.5,0.6442,0.6446,0.6433,0.6442,40,15.5,12.64,23.52
gpt-4,gsm,8,ConsistencyN,0.5,0.8205,0.8154,0.8154,0.8205,40,7.84,6.63,13.21
gpt-3.5,gsm,8,ConsistencyN,0.5,0.634,0.634,0.631,0.634,40,17.23,14.59,25.84
